"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","Jn12ke src","e4rVHe"
"https://www.google.com.br/maps/place/Ramos+Advocacia/data=!4m7!3m6!1s0x976931cfc79fa3:0x7f94d09d581b7f41!8m2!3d-22.874051!4d-42.3383716!16s%2Fg%2F11p76tc3ln!19sChIJo5_HzzFplwARQX8bWJ3QlH8?authuser=0&hl=pt-BR&rclk=1","Ramos Advocacia","","","Advogado","·","Av. Getúlio Vargas, 221 - Sala 311","","","","(22) 99795-8592","","","Rotas","","","","","Nenhuma avaliação"
"https://www.google.com.br/maps/place/Gisele+Matias+-+Advocacia+C%C3%ADvel,+Trabalhista,+Fam%C3%ADlia+e+Consumidor/data=!4m7!3m6!1s0x99e35790fd7565:0x95f47e9d8a0c69d!8m2!3d-22.9315711!4d-42.6292308!16s%2Fg%2F11jlmk11hm!19sChIJZXX9kFfjmQARncag2OlHXwk?authuser=0&hl=pt-BR&rclk=1","Gisele Matias - Advocacia Cível, Trabalhista, Família e Consumidor","5,0","(39)","Escritório de advocacia","·","esquina com - Rua 93, R. 13, 01 - quadra 2016","Aberto","⋅ Fecha às 18:00","·","(22) 99722-0115","","","Rotas","","","""Melhor","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Escrit%C3%B3rio/data=!4m7!3m6!1s0x97690069b4596d:0x68848ad32ca03f44!8m2!3d-22.8706126!4d-42.3346349!16s%2Fg%2F11vzblvpnm!19sChIJbVm0aQBplwARRD-gLNOKhGg?authuser=0&hl=pt-BR&rclk=1","Escritório","","","Advogado","·","Av. Getúlio Vargas, 409/410","","","","","","","Rotas","","","","","Nenhuma avaliação"
"https://www.google.com.br/maps/place/RdCardoso+Advogados/data=!4m7!3m6!1s0x971392beff0a83:0x5555b27ebe37f62b!8m2!3d-22.8379306!4d-42.219495!16s%2Fg%2F11jkx1tqs8!19sChIJgwr_vpITlwARK_Y3vn6yVVU?authuser=0&hl=pt-BR&rclk=1","RdCardoso Advogados","5,0","(34)","Escritório de advocacia","·","·","Aberto","⋅ Fecha às 18:00","Estr. do Arrastão, 158","(22) 99912-4939","https://instagram.com/rdcardosoadv?igshid=YmMyMTA2M2Y=","","Website","","Rotas","""Ótimo atendimento!!!fui bem recebido , muito bem atendido!""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Stella+Gouveia+Advocacia/data=!4m7!3m6!1s0x975f004497f5df:0x446427376afd9498!8m2!3d-22.9293018!4d-42.4889186!16s%2Fg%2F11ydjzxl9q!19sChIJ3_WXRABflwARmJT9ajcnZEQ?authuser=0&hl=pt-BR&rclk=1","Stella Gouveia Advocacia","5,0","(3)","Advogado de Direito de Família","·","Avenida saquarema ( Lakes Shopping, 2 andar","","","","","","","Rotas","","","","",""
"https://www.google.com.br/maps/place/Iago+Araujo+Advogados/data=!4m7!3m6!1s0x976da94d9fc433:0xb11ae62888157e0e!8m2!3d-22.8697645!4d-42.276087!16s%2Fg%2F11vf5f2vx8!19sChIJM8SfTaltlwARDn4ViCjmGrE?authuser=0&hl=pt-BR&rclk=1","Iago Araujo Advogados","5,0","(5)","Advogado criminal","·","·","Aberto 24 horas","","Rod. Amaral Peixoto, KM 90 - Loja 15","(22) 99266-7518","https://www.iagoaraujoadvogadocriminalista.com/","","Website","","Rotas","Serviços no local","",""
"https://www.google.com.br/maps/place/Renata+Ramos+Advogada/data=!4m7!3m6!1s0x825f642a9164f273:0xe5cc5c86f2d332be!8m2!3d-22.880025!4d-42.3139108!16s%2Fg%2F11wnnncdwp!19sChIJc_JkkSpkX4IRvjLT8oZczOU?authuser=0&hl=pt-BR&rclk=1","Renata Ramos Advogada","","","Advogado trabalhista","","·","Aberto","⋅ Fecha às 17:00","","(22) 98805-3031","","","Rotas","","","","","Nenhuma avaliação"
"https://www.google.com.br/maps/place/Dra.+Adriana+Rodrigues+%28advogada+previdenci%C3%A1ria+e+trabalhista%29/data=!4m7!3m6!1s0x99d9ca072ee561:0xdfb8c85ae63d4098!8m2!3d-22.7110246!4d-42.6216894!16s%2Fg%2F11sg_h61h_!19sChIJYeUuB8rZmQARmEA95lrIuN8?authuser=0&hl=pt-BR&rclk=1","Dra. Adriana Rodrigues (advogada previdenciária e trabalhista)","5,0","(48)","Advogado","·","R. Quinze de Novembro, 242 - sala 208 (Oportunity","Aberto","⋅ Fecha às 18:00","·","(21) 97185-8375","https://www.instagram.com/p/CifcnblrXw_/?igshid=ZmVmZTY5ZGE=","","Website","","Rotas","Serviços no local","",""
"https://www.google.com.br/maps/place/Pereira+e+Cunha+Advocacia/data=!4m7!3m6!1s0x4c8cb2d7130c8c01:0x9eeb52d11c236ef1!8m2!3d-22.726862!4d-42.4609659!16s%2Fg%2F11kp9n90b_!19sChIJAYwME9eyjEwR8W4jHNFS654?authuser=0&hl=pt-BR&rclk=1","Pereira e Cunha Advocacia","5,0","(2)","Advogado","","·","Aberto","⋅ Fecha às 16:30","","(22) 99746-3159","","","Rotas","","","""Ótimo escritório para problemas relacionado a saúde.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Da+Silva+-+Advogados+Associados/data=!4m7!3m6!1s0x99e5003861b0e3:0x977cdeac02aed08!8m2!3d-22.9532071!4d-42.6979766!16s%2Fg%2F11y84jlqbt!19sChIJ47BhOADlmQARCO0qwOrNdwk?authuser=0&hl=pt-BR&rclk=1","Da Silva - Advogados Associados","5,0","(28)","Advogado","·","Luiz Pereira - R. Alcebíades Teodoro Pereira, 16","Aberto 24 horas","","·","(21) 96904-7088","https://www.instagram.com/advogado_fernandodasilva/","","Website","","Rotas","""Advogado muito competente, sempre disposto a auxiliar os seus clientes.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Martins+%26+Pellini+Advogados+e+Consultores/data=!4m7!3m6!1s0x8d516a82b9d6da05:0x4eab7bd3b22b8fbd!8m2!3d-14.4095262!4d-51.31668!16s%2Fg%2F11wy3kg9z4!19sChIJBdrWuYJqUY0RvY8rstN7q04?authuser=0&hl=pt-BR&rclk=1","Martins & Pellini Advogados e Consultores","","","Advogado","","·","Aberto 24 horas","","","(21) 99898-3539","","","Rotas","","","","","Nenhuma avaliação"
"","","","","","","","","","","","","","","","","","",""
